Date,Product_ID,Product_Name,Price
2025-10-13,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1175
2025-10-13,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1144
2025-10-13,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2362
2025-10-20,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1153
2025-10-20,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1223
2025-10-20,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2382
2025-10-27,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1147
2025-10-27,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1177
2025-10-27,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2410
2025-11-03,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1225
2025-11-03,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1232
2025-11-03,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2280
2025-11-10,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1215
2025-11-10,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1232
2025-11-10,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2262
2025-11-17,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1164
2025-11-17,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1231
2025-11-17,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2326
2025-11-24,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1220
2025-11-24,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1210
2025-11-24,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2229
2025-12-01,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1203
2025-12-01,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1227
2025-12-01,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2405
2025-12-08,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1165
2025-12-08,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1240
2025-12-08,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2383
2025-12-15,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1187
2025-12-15,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1196
2025-12-15,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2333
2025-12-22,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1171
2025-12-22,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1168
2025-12-22,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2275
2025-12-29,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1247
2025-12-29,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1240
2025-12-29,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2201
2026-01-05,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1182
2026-01-05,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1222
2026-01-05,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2310
2026-01-09,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1198
2026-01-09,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1250
2026-01-09,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2359
2026-01-16,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1222
2026-01-16,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1239
2026-01-16,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2279
2026-01-23,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1153
2026-01-23,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1236
2026-01-23,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2292
2026-01-30,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1235
2026-01-30,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1257
2026-01-30,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2207
2026-02-06,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1144
2026-02-06,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1214
2026-02-06,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2380
2026-02-13,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1163
2026-02-13,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1185
2026-02-13,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2193
2026-02-20,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1224
2026-02-20,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1251
2026-02-20,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2211
2026-02-27,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1208
2026-02-27,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1164
2026-02-27,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2374
2026-03-06,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1228
2026-03-06,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1147
2026-03-06,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2406
2026-03-13,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1141
2026-03-13,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1216
2026-03-13,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2280
2026-03-20,DDR4_3200_16GB_Kingston,Kingston Fury Beast DDR4-3200 16GB,1250
2026-03-20,DDR4_3600_16GB_GSkill,G.SKILL Trident Z Neo DDR4-3600 16GB,1229
2026-03-20,DDR4_3200_32GB_Corsair,Corsair Vengeance LPX DDR4-3200 32GB,2284
